mac0;mac1;mac2;mac3;mac4;mac5;rssi;local
180;121;200;57;49;40;-64.75;0
180;121;200;56;192;184;-66.30769;0
48;135;217;1;75;40;-78.66666;0
48;135;217;1;78;72;-79.5;0
48;135;217;2;254;8;-82.0;0
232;29;168;48;225;120;-82.16666;0
48;135;217;1;78;88;-82.28571;0
232;29;168;48;241;232;-82.33334;0
48;135;217;2;250;200;-82.625;0
48;135;217;66;250;200;-83.72727;0
180;121;200;5;193;248;-84.0;0
144;58;114;36;239;232;-86.77778;0
48;135;217;66;250;200;-46.33333;1
48;135;217;2;250;200;-46.72222;1
180;121;200;120;177;200;-62.85714;1
180;121;200;56;177;200;-62.92857;1
180;121;200;5;185;168;-72.38889;1
180;121;200;56;192;184;-76.11111;1
180;121;200;5;194;120;-83.4;1
180;121;200;69;194;120;-84.0;1
180;121;200;69;194;56;-86.0;1
180;121;200;5;194;56;-87.0;1
108;20;110;62;222;112;-89.0;1
180;121;200;5;194;120;-62.88889;2
180;121;200;69;194;120;-63.0;2
180;121;200;5;194;56;-65.14286;2
180;121;200;69;194;56;-66.0;2
108;20;110;62;219;81;-68.0;2
108;20;110;62;219;80;-74.5;2
48;135;217;66;250;200;-76.2;2
48;135;217;2;250;200;-76.33334;2
108;20;110;62;222;34;-83.0;2
108;20;110;62;223;18;-83.0;2
108;20;110;62;223;97;-84.0;2
108;20;110;62;223;16;-85.33334;2
108;20;110;159;171;209;-86.5;2
180;121;200;5;185;56;-86.5;2
108;20;110;159;171;208;-86.66666;2
180;121;200;56;192;184;-86.83334;2
108;20;110;62;222;33;-87.0;2
180;121;200;56;178;232;-87.42857;2
108;20;110;159;171;210;-87.5;2
108;20;110;62;222;32;-89.0;2
108;20;110;62;219;160;-90.0;2
108;20;110;62;219;161;-90.0;2
108;20;110;62;219;162;-92.0;2
48;135;217;2;250;200;-61.5;3
48;135;217;66;250;200;-61.875;3
180;121;200;5;194;120;-75.85714;3
180;121;200;69;194;120;-78.16666;3
180;121;200;56;192;184;-80.22222;3
180;121;200;56;177;200;-81.33334;3
180;121;200;5;185;168;-81.625;3
180;121;200;120;177;200;-83.5;3
180;121;200;5;194;56;-83.75;3
180;121;200;69;194;56;-85.5;3
172;21;162;254;33;199;-86.0;3
0;26;63;161;21;168;-90.0;3
108;20;110;62;219;80;-90.0;3
108;20;110;62;223;18;-91.0;3
